peril	n. 严重危险
yawn	vi. 打哈欠 n. 哈欠
dusk	n. 傍晚；黄昏
muscle	n. 肌肉；体力；影响力
lobby	n. 大厅；游说（团体）v. 游说
drawer	n. 抽屉；开票人；出票人
multiple	adj. 多个的；多种的
treaty	n. 条约；协议；协定
liquor	n. 烈酒
quotation	n. 报价；引用；引文
donkey	n. 驴；笨蛋
mop	n. 拖把；墩布 v. 用布擦掉；用拖把擦干净
likewise	adv. 同样地；也
dirt	n. 尘士；污物；污垢
resume	v. 重新开始
lick	vt. 舔 n. 少量
noticeable	adj. 显而易见的；显著的
dialect	n. 方言；土语；地方话
restless	adj. 坐立不安的；不耐烦的
leisure	n. 空闲；闲暇 adj. 空闲的； 闲暇的
normally	adv. 通常地；正常地；平常地
wrist	n. 手腕；腕关节
costly	adj. 昂贵的；价钱高的；代价高的；损失大的
religious	adj. 宗教的；虚诚的
lease	n. 租约 vt. 出租；租用
nonsense	n. 胡说；废话；愚蠢的行为
cop	n. 警察 vt. 遭受；抓住
lane	n.（乡间）小路；跑道；泳道；车道；小巷
nightmare	n. 噩梦；可怕的事物
commander	n. 司令官；指挥官
proportional	adj. 成比例的；相称的
landlord	n. 地主；房东；店主；业主
undergraduate	n. 大学本科生
chew	v. 咀嚼；嚼碎
visa	n. 签证
parliament	n. 议会；国会
knot	n. 绳结；痉挛 v. 把……打成结
underneath	prep. 在……下面；在……底下
champagne	n. 香槟酒
vitamin	n. 维生素；维他命
hence	adv. 因此；由此
upper	adj. 上面的；较高的
unconscious	adj. 不省人事的；无意识的
bunch	n. 串；束；扎 v.（使）打褶；（使）变紧
wicked	adj. 邪恶的；淘气的
hell	n. 地狱；苦难的经历；该死
utmost	（亦作 uttermost）adj. 最大的；极度的 n. 极限
priest	n. 牧师；神父；祭司
bully	n. 横行霸道者 v. 恐吓；伤害；胁迫
worm	n. 蠕虫；可怜虫
pea	n. 豌豆
hardware	n. 硬件；设备；工具
viewpoint	n. 观点；意见；角度
bullet	n. 枪弹；子弹；弹丸
troop	n. 一群士兵； 群 v. 成群地走
platform	n. 平台；站台；讲台；纲领
hardship	n. 艰难；困苦
mechanical	adj. 机械（驱动）的；机械般的
paste	n. 酱；糨糊；面团 vt. 粘贴
budget	n. 预算 v. 把……编入预算 adj. 价格低廉的
oval	adj. 卵形的；椭圆的 n. 椭圆形；卵形
gulf	n. 鸿沟；分歧；隔阂
measurement	n. 测量；尺寸
buddy	n. 朋友；同伴
outer	adj. 远离中心的；外面的
grin	v. / n. 咧着嘴笑
maximum	n. 最大量（值）adj. 最大量（值）的
bubble	n. 泡 vi. 冒泡；沸腾；充满
ounce	n. 盎司；一点点
grief	n. 悲伤；悲痛心事；忧虑
mat	n. 小地毯；垫子
bang	n. 巨响；猛击 v. 猛敲；猛摔
governor	n. 主管；董事；总裁
marxist	n. 马克思主义者 adj. 马克思主义的
bandage	n. 绷带 vt. 用绷带包扎
oral	adj. 口头的；口腔的 n. 口试
goodness	int. 天哪 n. 善良；美德；精华
trash	n. 垃圾；劣质品 vt. 捣毁
baggage	n. 行李
relativity	n. 相对论；相对性
ghost	n. 鬼；鬼魂；记忆
trademark	n. 商标；特征；标记
badge	n. 徽章；标记；象征
rat	n. 老鼠；卑鄙小人
germ	n. 细菌；微生物；萌芽；胚胎
toss	v. 扔；抛；投；颠簸
auxiliary	adj. 辅助的；备用的
ridge	n. 脊；山脉；垄
railroad	n. 铁路 v. 迫使……做
generator	n. 发电机；发生器；电力公司
tunnel	n. 隧道；坑道；地道
torch	n. 火炬；火把；手电筒
authentic	adj. 真正的；可靠的
moreover	adv. 而且；此外
rag	n. 破布；抹布
forum	n. 论坛；讨论会
paw	n. 爪 v. 用爪；抓
token	n. 代币；象征 adj. 装样子的
attorney	n. 律师
throat	n. 咽喉；喉咙
racial	adj. 种族的；人种的
oven	n. 烤箱
microphone	n. 话筒；麦克风；传声器
microscope	n. 显微镜
microwave	n. 微波炉
